City_Name,Restaurant_Name,Request_Time_Local,Final_Delivery_Time_Local,Order_Status,Item_Name,Item_quantity,Customizations,Customization_Cost_Local,Special_Instructions,Item_Price,Order_Price,Currency
Tampa Bay,PDQ Chicken (St. Pete),2026-01-26T12:51:23.000Z,2026-01-26T13:26:08.000Z,completed,Honey Butter Sandwich Meal,1,Bleu Cheese,0.59,"",14.09,27.17,USD
Tampa Bay,PDQ Chicken (St. Pete),2026-01-26T12:51:23.000Z,2026-01-26T13:26:08.000Z,completed,Honey Butter Sandwich Meal,1,Regular Fries,4.19,"",14.09,27.17,USD
Tampa Bay,PDQ Chicken (St. Pete),2026-01-26T12:51:23.000Z,2026-01-26T13:26:08.000Z,completed,Honey Butter Sandwich Meal,1,Toss in Garlic Parmesan,1.19,"",14.09,27.17,USD
Tampa Bay,Panda Express (7000 Us Highway 19 N),2026-01-24T22:03:34.000Z,2026-01-24T22:29:40.000Z,completed,Plate,1,"The Original Orange Chicken, White Steamed Rice",0.0,"",12.4,39.89,USD
Tampa Bay,Panda Express (7000 Us Highway 19 N),2026-01-24T22:03:34.000Z,2026-01-24T22:29:40.000Z,completed,Fanta Strawberry,1,Fanta Strawberry,0.0,"",2.65,39.89,USD
Tampa Bay,Panda Express (7000 Us Highway 19 N),2026-01-24T22:03:34.000Z,2026-01-24T22:29:40.000Z,completed,Fanta Strawberry,1,Medium,0.25,"",2.65,39.89,USD
Tampa Bay,Panda Express (7000 Us Highway 19 N),2026-01-24T22:03:34.000Z,2026-01-24T22:29:40.000Z,completed,Bowl,1,"The Original Orange Chicken, Chow Mein",0.0,"",10.2,39.89,USD
Tampa Bay,Tijuana Flats (St. Pete),2026-01-17T11:39:23.000Z,2026-01-17T12:16:03.000Z,completed,Bowl,1,"Replace Onions and Tomato with Pico, Black Beans, Cilantro Lime Rice, No Jalapeños, No Onions",0.0,"",13.49,44.89,USD
Tampa Bay,Tijuana Flats (St. Pete),2026-01-17T11:39:23.000Z,2026-01-17T12:16:03.000Z,completed,Bowl,1,Steak,2.1,"",13.49,44.89,USD
Tampa Bay,Tijuana Flats (St. Pete),2026-01-17T11:39:23.000Z,2026-01-17T12:16:03.000Z,completed,Flautas,1,"Don't Be A Chicken Sh!t Hot Sauce, Side of Guacamole, Side of Hot Sauce",0.0,"",13.79,44.89,USD
Tampa Bay,Tijuana Flats (St. Pete),2026-01-17T11:39:23.000Z,2026-01-17T12:16:03.000Z,completed,Chips and Queso,1,"",,"",7.49,44.89,USD
Tampa Bay,Tijuana Flats (St. Pete),2026-01-17T11:39:23.000Z,2026-01-17T12:16:03.000Z,completed,Flautas,1,Classic Chicken,0.2,"",13.79,44.89,USD
Tampa Bay,Wingstop (1411 34TH ST N.),2026-01-15T19:38:50.000Z,2026-01-15T20:17:43.000Z,completed,6 pc Wing Combo,1,Louisiana Voodoo Fries,2.89,"",14.19,28.69,USD
